,state,region,lat,lon,area_m2,price_brl
203,Pernambuco,Northeast,-8.106074,-34.888065,94,748595.73
204,Pernambuco,Northeast,-8.140393,-34.906624,128,1097940.43
205,Pernambuco,Northeast,-8.140393,-34.906624,128,1048034.05
206,Pernambuco,Northeast,-8.09607,-34.884548,90,489082.54
207,Pernambuco,Northeast,-8.103477,-34.888622,230,798502.15
208,Pernambuco,Northeast,-8.0378897,-34.9113117,122,848408.53
209,Pernambuco,Northeast,-8.035595,-34.921719,106,678726.79
210,Pernambuco,Northeast,-8.021971,-34.931366,204,1297565.98
211,Pernambuco,Northeast,-8.050071,-34.89138,,1097940.43
212,Pernambuco,Northeast,-8.056418,-34.909309,91,678726.79
213,Pernambuco,Northeast,-8.0369,-34.884521,64,364316.6
214,Pernambuco,Northeast,-8.1274129,-34.905172,122,529007.65
215,Pernambuco,Northeast,-8.0334139,-34.9089276,,628820.41
216,Pernambuco,Northeast,-8.0418977,-34.9456721,93,299438.28
217,Pernambuco,Northeast,-8.086438,-34.89069,87,299438.28
218,Pernambuco,Northeast,-8.116624,-34.899124,,538988.95
219,Pernambuco,Northeast,-8.027162,-34.913445,,319400.84
220,Pernambuco,Northeast,-8.044757,-34.89185,110,339363.39
221,Pernambuco,Northeast,-8.044204,-34.891396,147,848408.53
222,Pernambuco,Northeast,-8.048158,-34.910992,,369307.22
223,Pernambuco,Northeast,-8.02765,-34.920338,104,638801.71
224,Pernambuco,Northeast,-8.046015,-34.910507,86,529007.65
225,Pernambuco,Northeast,-8.049665,-34.931366,62,357931.56
226,Pernambuco,Northeast,-8.044542,-34.894829,143,918277.46
227,Pernambuco,Northeast,-8.0407538,-34.888156,60,424204.24
228,Pernambuco,Northeast,-8.02765,-34.920338,94,538988.95
229,Pernambuco,Northeast,-8.126271,-34.903793,176,878352.35
230,Pernambuco,Northeast,-8.215346,-34.927231,103,469120.01
231,Pernambuco,Northeast,-8.143694,-34.906676,,1367434.92
232,Pernambuco,Northeast,-8.035595,-34.921719,106,648782.97
233,Pernambuco,Northeast,-8.115533,-34.896854,117,519026.39
234,Pernambuco,Northeast,-8.113256,-34.897057,55,449157.45
235,Pernambuco,Northeast,-8.0576539,-34.8965881,120,299438.28
236,Pernambuco,Northeast,-8.034929,-34.892761,125,788520.85
237,Pernambuco,Northeast,-8.034929,-34.892761,115,828445.97
238,Pernambuco,Northeast,-8.040035,-34.899654,68,309419.57
239,Pernambuco,Northeast,-8.034929,-34.892761,125,819240.24
240,Pernambuco,Northeast,-8.047979,-34.908512,82,479101.27
241,Pernambuco,Northeast,-8.035284,-34.903919,148,768558.29
242,Pernambuco,Northeast,-8.02765,-34.920338,57,378290.39
243,Pernambuco,Northeast,-8.034104,-34.89806,113,648782.97
244,Pernambuco,Northeast,-8.047052,-34.874832,80,479101.27
245,Pernambuco,Northeast,-8.029394,-34.922832,85,548970.21
246,Pernambuco,Northeast,-8.0380508,-34.8950597,,429194.89
247,Pernambuco,Northeast,-8.02765,-34.920338,96,578914.03
248,Pernambuco,Northeast,-8.125979,-34.903142,,499063.83
249,Pernambuco,Northeast,-8.1413429,-34.907283,,529007.65
250,Pernambuco,Northeast,-8.1311923,-34.905777,82,359325.95
251,Pernambuco,Northeast,-8.1280955,-34.906856,98,449157.45
252,Pernambuco,Northeast,-8.1161578,-34.893642,,678726.79
253,Pernambuco,Northeast,-8.1376548,-34.905588,68,369307.22
254,Pernambuco,Northeast,-8.125862,-34.904531,83,399251.07
255,Pernambuco,Northeast,-8.0927682,-34.884335,79,399251.07
256,Pernambuco,Northeast,-8.1239701,-34.905836,80,419213.6
257,Pernambuco,Northeast,-8.0565882,-34.8781384,176,1161034.64
258,Pernambuco,Northeast,-8.1132697,-34.896273,136,474110.62
259,Pernambuco,Northeast,-8.1413642,-34.9263512,92,757196.48
260,Pernambuco,Northeast,-8.1306902,-34.9098391,65,302878.6
261,Pernambuco,Northeast,-8.206632,-34.921719,189,688708.09
262,Pernambuco,Northeast,-8.056418,-34.909309,112,728633.21
263,Pernambuco,Northeast,-8.02765,-34.920338,87,424204.24
264,Pernambuco,Northeast,-8.0383055,-34.9146682,,1048034.05
265,Pernambuco,Northeast,-8.035134,-34.893791,86,529007.65
266,Pernambuco,Northeast,-8.027162,-34.913445,79,449157.45
267,Pernambuco,Northeast,-8.030991,-34.880032,55,265965.09
268,Pernambuco,Northeast,-8.043853,-34.907928,203,1347472.36
269,Pernambuco,Northeast,-8.0369,-34.884521,64,339363.39
270,Pernambuco,Northeast,-8.02765,-34.920338,67,339363.39
271,Pernambuco,Northeast,-8.032006,-34.89827,175,998127.67
272,Pernambuco,Northeast,-8.02765,-34.920338,65,404241.69
273,Pernambuco,Northeast,-8.032974,-34.924965,189,1397378.74
274,Pernambuco,Northeast,-8.032375,-34.906925,226,1247659.6
275,Pernambuco,Northeast,-8.044757,-34.89185,179,658764.27
276,Pernambuco,Northeast,-8.46275,-35.082859,209,1593547.76
277,Pernambuco,Northeast,-8.035595,-34.921719,155,923268.08
278,Pernambuco,Northeast,-8.040437,-34.883881,55,399251.07
279,Pernambuco,Northeast,-8.034929,-34.892761,86,628820.41
280,Pernambuco,Northeast,-8.040437,-34.883881,56,399251.07
281,Pernambuco,Northeast,-8.040437,-34.883881,56,399251.07
282,Pernambuco,Northeast,-8.044204,-34.891396,105,698689.35
283,Pernambuco,Northeast,-8.0352674,-34.915894,235,1147846.81
284,Pernambuco,Northeast,-8.0395221,-34.9073309,71,379288.51
285,Pernambuco,Northeast,-8.113256,-34.897057,55,444166.8
286,Pernambuco,Northeast,-8.1238,-34.90247,135,648782.97
287,Pernambuco,Northeast,-8.103477,-34.888622,85,1048034.05
288,Pernambuco,Northeast,-8.021971,-34.931366,140,828445.97
289,Pernambuco,Northeast,-8.1395373,-34.909275,85,359325.95
290,Pernambuco,Northeast,-8.112362,-34.895853,183,1147846.81
291,Pernambuco,Northeast,-8.183698,-34.931366,,239550.63
292,Pernambuco,Northeast,-8.1398641,-34.908659,166,618839.15
293,Pernambuco,Northeast,-8.1376548,-34.905588,66,369307.22
294,Pernambuco,Northeast,-8.1237621,-34.903048,,489082.54
295,Pernambuco,Northeast,-8.128416,-34.903417,82,494073.18
296,Pernambuco,Northeast,-8.126271,-34.903793,107,898314.91
297,Pernambuco,Northeast,-8.149876,-34.910686,153,1097940.43
298,Pernambuco,Northeast,-8.034344,-34.896725,87,548970.21
299,Pernambuco,Northeast,-8.1149776,-34.89895,120,384279.13
300,Pernambuco,Northeast,-8.125896,-34.900967,,264503.81
301,Pernambuco,Northeast,-8.1299858,-34.903518,98,519026.39
302,Pernambuco,Northeast,-8.1221009,-34.905421,66,394260.42
303,Pernambuco,Northeast,-8.1250952,-34.902995,134,643792.32
304,Pernambuco,Northeast,-8.1389668,-34.906056,,359325.95
305,Pernambuco,Northeast,-8.109666,-34.894753,,778539.59
306,Pernambuco,Northeast,-8.126271,-34.903793,132,698689.35
307,Pernambuco,Northeast,-8.1603708,-34.9162064,230,648782.97
308,Pernambuco,Northeast,-8.111414,-34.894337,158,1197753.22
309,Pernambuco,Northeast,-8.113888,-34.892437,185,848408.53
310,Pernambuco,Northeast,-8.1421704,-34.907805,108,648782.97
311,Pernambuco,Northeast,-8.110801,-34.895542,162,1058318.76
312,Pernambuco,Northeast,-8.152399,-34.920338,,546384.05
313,Pernambuco,Northeast,-8.040233,-34.898281,74,259513.19
314,Pernambuco,Northeast,-8.1951499,-35.563776,215,374297.86
315,Pernambuco,Northeast,-8.101428,-34.885632,128,1197753.22
316,Pernambuco,Northeast,-8.089291,-34.903793,170,1247659.6
317,Pernambuco,Northeast,-8.1951499,-35.563776,168,673736.18
318,Pernambuco,Northeast,-8.206632,-34.921719,134,1114908.62
319,Pernambuco,Northeast,-8.183491,-34.921719,170,648782.97
320,Pernambuco,Northeast,-8.2007221,-34.9213268,180,733623.82
321,Pernambuco,Northeast,-8.049665,-34.931366,100,349344.66
322,Pernambuco,Northeast,-8.0449547,-34.8956486,,499063.83
323,Pernambuco,Northeast,-8.037121,-34.90073,160,1097940.43
324,Pernambuco,Northeast,-8.021971,-34.931366,172,1197753.22
325,Pernambuco,Northeast,-8.0369,-34.884521,65,348346.53
326,Pernambuco,Northeast,-8.027162,-34.913445,98,499063.83
327,Pernambuco,Northeast,-8.062398,-34.904552,104,631315.74
328,Pernambuco,Northeast,-8.046647,-34.905537,,499063.83
329,Pernambuco,Northeast,-8.045761,-34.893982,132,529007.65
330,Pernambuco,Northeast,-8.027162,-34.913445,129,848408.53
331,Pernambuco,Northeast,-8.021971,-34.931366,172,1167809.37
332,Pernambuco,Northeast,-7.755484,-34.851379,229,499063.83
333,Pernambuco,Northeast,-8.02765,-34.920338,66,444166.8
334,Pernambuco,Northeast,-8.040035,-34.899654,,588895.33
335,Pernambuco,Northeast,-8.125632,-34.904846,155,978165.11
336,Pernambuco,Northeast,-8.1421911,-34.9075669,108,588873.77
337,Pernambuco,Northeast,-8.129817,-34.914825,106,784029.28
338,Pernambuco,Northeast,-8.029863,-34.909756,157,808483.41
339,Pernambuco,Northeast,-8.056418,-34.909309,113,768558.29
340,Pernambuco,Northeast,-8.049665,-34.931366,58,299438.28
341,Pernambuco,Northeast,-8.0369,-34.884521,65,394260.42
342,Pernambuco,Northeast,-8.056418,-34.909309,91,499063.83
343,Pernambuco,Northeast,-8.056418,-34.909309,113,918277.46
344,Pernambuco,Northeast,-8.067211,-34.90517,167,1197753.22
345,Pernambuco,Northeast,-8.044486,-34.905376,90,548970.21
346,Pernambuco,Northeast,-8.043853,-34.907928,87,553960.86
347,Pernambuco,Northeast,-8.043853,-34.907928,,588895.33
348,Pernambuco,Northeast,-8.033291,-34.898014,114,748595.73
349,Pernambuco,Northeast,-8.0347457,-34.8972145,102,667747.41
350,Pernambuco,Northeast,-8.049178,-34.924473,141,898314.91
351,Pernambuco,Northeast,-8.0508763,-34.9113739,157,978165.11
352,Pernambuco,Northeast,-8.02765,-34.920338,158,898314.91
353,Pernambuco,Northeast,-8.037733,-34.901905,58,384279.13
354,Pernambuco,Northeast,-8.0343998,-34.9212091,,848408.53
355,Pernambuco,Northeast,-8.0343998,-34.9212091,200,1097940.43
356,Pernambuco,Northeast,-8.0436724,-34.9090946,90,424204.24
357,Pernambuco,Northeast,-8.0369,-34.884521,69,329382.13
358,Pernambuco,Northeast,-8.0330615,-34.8950223,,1247659.6
359,Pernambuco,Northeast,-8.033406,-34.893208,59,364316.6
360,Pernambuco,Northeast,-8.0331805,-34.8968813,136,948221.29
361,Pernambuco,Northeast,-8.206293,-34.936878,,258515.04
362,Pernambuco,Northeast,-8.14068,-34.905975,150,698689.35
363,Pernambuco,Northeast,-8.03368,-34.906895,198,1277603.42
364,Pernambuco,Northeast,-8.034929,-34.892761,102,738614.47
365,Pernambuco,Northeast,-8.040233,-34.898281,180,628820.41
366,Pernambuco,Northeast,-8.048381,-34.908379,111,718651.91
367,Pernambuco,Northeast,-8.040233,-34.898281,170,648782.97
368,Pernambuco,Northeast,-8.0343998,-34.9212091,,479101.27
369,Pernambuco,Northeast,-8.029489,-34.9040282,75,289457.01
370,Pernambuco,Northeast,-8.117513,-34.899639,106,688708.09
371,Pernambuco,Northeast,-8.021971,-34.931366,204,1397378.74
372,Pernambuco,Northeast,-8.050071,-34.89138,208,1197753.22
373,Piauí,Northeast,-5.144143,-42.770873,108,607959.56
374,Piauí,Northeast,-5.084227,-42.821615,,831450.32
375,Piauí,Northeast,-5.086528,-42.797088,103,622432.39
376,Piauí,Northeast,-5.092011,-42.80376,100,486179.01
377,Piauí,Northeast,-5.064457,-42.79275,60,319400.84
378,Piauí,Northeast,-5.078955,-42.807716,76,249531.9
379,Piauí,Northeast,-5.078955,-42.807716,100,297830.6
380,Piauí,Northeast,-5.078955,-42.807716,,259513.19
381,Piauí,Northeast,-5.078955,-42.807716,72,329382.13
382,Piauí,Northeast,-5.051253,-42.749144,236,748595.73
383,Piauí,Northeast,-5.06999,-42.749367,70,242774.57
384,Piauí,Northeast,-5.078903,-42.787226,162,988146.4
385,Piauí,Northeast,-5.074453,-42.736429,115,534986.44
386,Piauí,Northeast,-5.086306,-42.781749,,606861.61
387,Piauí,Northeast,-5.070009,-42.74717,79,339353.41
388,Piauí,Northeast,-5.076423,-42.76101,74,308421.45
389,Piauí,Northeast,-5.095419,-42.791474,78,318392.73
390,Piauí,Northeast,-5.085659,-42.729751,115,398252.92
391,Piauí,Northeast,-5.061773,-42.759066,76,276629.09
392,Piauí,Northeast,-5.068983,-42.786101,130,616862.74
393,Piauí,Northeast,-5.075868,-42.753926,75,291268.25
394,Piauí,Northeast,-5.06923,-42.785126,108,625949.09
395,Piauí,Northeast,-5.089212,-42.801628,205,757196.48
396,Piauí,Northeast,-5.063854,-42.762544,180,449157.45
397,Piauí,Northeast,-5.063854,-42.762544,,568932.77
398,Piauí,Northeast,-5.073011,-42.793678,60,419213.6
399,Piauí,Northeast,-5.078955,-42.807716,,698689.35
400,Piauí,Northeast,-5.069056,-42.783318,141,1097940.43
401,Piauí,Northeast,-5.044685,-42.766233,77,479101.27
402,Rio Grande do Norte,Northeast,-5.852388,-35.208324,92,374297.86
403,Rio Grande do Norte,Northeast,-5.864574,-35.212097,64,259513.19
404,Rio Grande do Norte,Northeast,-5.864574,-35.212097,87,374297.86
405,Rio Grande do Norte,Northeast,-5.780723,-35.198303,214,998127.67
406,Rio Grande do Norte,Northeast,-5.780723,-35.198303,150,848408.53
407,Rio Grande do Norte,Northeast,-5.886141,-35.180965,56,364316.6
408,Rio Grande do Norte,Northeast,-5.816717,-35.201107,166,918277.46
409,Rio Grande do Norte,Northeast,-5.816717,-35.201107,142,848408.53
410,Rio Grande do Norte,Northeast,-5.864764,-35.190559,141,678726.79
411,Rio Grande do Norte,Northeast,-5.824264,-35.210854,81,387273.53
412,Rio Grande do Norte,Northeast,-5.824264,-35.210854,119,508046.97
413,Rio Grande do Norte,Northeast,-5.816746,-35.216221,86,451153.7
414,Rio Grande do Norte,Northeast,-5.816746,-35.216221,101,529007.65
415,Rio Grande do Norte,Northeast,-5.866949,-35.23719,89,299438.28
