,property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
5160,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itapoã|,Southeast,"-20.328533,-40.280777",62,"$116,395.18 "
5161,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itapoã|,Southeast,"-20.328533,-40.280777",78,"$145,415.96 "
5162,apartment,|Brasil|Espírito Santo|Vila Velha|Itapuã|,Southeast,"-20.328533,-40.280777",59,"$92,991.32 "
5163,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",87,"$105,785.43 "
5164,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",63,"$82,693.62 "
5165,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",57,"$76,452.59 "
5166,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",80,"$111,402.35 "
5167,apartment,|Brasil|Espírito Santo|Vitória|Bento Ferreira|,Southeast,"-20.314779,-40.303955",68,"$124,508.51 "
5168,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",80,"$134,806.21 "
5169,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,,71,"$96,111.83 "
