operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Coyoacán|Distrito Federal|México|,"19.338274,-99.153156",15700000,MXN,15557973.46,827177.79,,550,,28545.45455,,,,http://pueblo-de-los-reyes.properati.com.mx/oyvu_venta_casa_pueblo-de-los-reyes_cerrada-plazuela-de-los-reyes_125_silvia-pena-lartigue
sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.474706,-99.18843",630000,MXN,624448.78,33200.35,,90,,7000,,,,http://azcapotzalco.properati.com.mx/qw8p_venta_departamento_azcapotzalco_av-centenario_407_angeles-albarran
sell,apartment,|Tulum|Quintana Roo|México|,,195500,USD,3677061.75,195500,,1164,,167.9553265,,,,http://tulum.properati.com.mx/la0j_venta_departamento_tulum_calle-sol-oriente_0_mauricio-cs
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.432484,-99.175895",7331480,MXN,7265157.41,386269.9,,125,,58651.84,,,,http://anzures.properati.com.mx/j9br_venta_departamento_anzures_gutenberg_126
sell,apartment,|Benito Juárez|Quintana Roo|México|,,2623000,MXN,2599887.85,138229.41,135,110,1023.921556,23845.45455,,,,http://cancun.properati.com.mx/c9xa_venta_departamento_cancun
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.387209,-99.222038",1858000,MXN,1841628.63,97914.7,,164,,11329.26829,,,,http://alvaro-obregon.properati.com.mx/r30t_venta_departamento_alvaro-obregon_camino-a-santa-fe_606_remate-bancario_e2b
sell,house,|La Magdalena Contreras|Distrito Federal|México|,"19.326058,-99.216727",3230546,MXN,3201321.43,170206.1,,350,,9230.131429,,,,http://la-magdalena-contreras.properati.com.mx/q5aq_venta_casa_la-magdalena-contreras_av-contreras-s-n_tomas-gonzalez
sell,apartment,|Tlalpan|Distrito Federal|México|,,2788000,MXN,2763434.16,146924.75,79,103,1859.806962,27067.96117,,,,http://tlalpan.properati.com.mx/bu0k_venta_departamento_tlalpan
sell,store,|Miguel Hidalgo|Distrito Federal|México|,"19.43558,-99.20138",18000000,MXN,17841397.02,948581.6,,235,,76595.74468,,,,http://miguel-hidalgo-df.properati.com.mx/rc6o_venta_local_miguel-hidalgo_moliere_0_carolina-se
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.44212,-99.155273",967200,MXN,958450.31,50958.36,,60,,16120,,,,http://cuauhtemoc.properati.com.mx/lhht_venta_departamento_cuauhtemoc_mariano-azuela_0_jesus-cid-del-prado
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.395097,-99.150424",1009000,MXN,999872.27,53160.66,,96,,10510.41667,,,,http://benito-juarez.properati.com.mx/onp7_venta_departamento_benito-juarez_gamaliel-cruz-cruz
